object_id,name,value
002bfde8b293cfa120fea76015dc098f9065b5cf,WBS_L.3-Building,B20
002bfde8b293cfa120fea76015dc098f9065b5cf,WBS_L.4-Level,L01
002bfde8b293cfa120fea76015dc098f9065b5cf,Perimeter,67649.22094385076
002bfde8b293cfa120fea76015dc098f9065b5cf,Name,Korridor
004ba9ab790e3be3ba47da199ea4b1a7830d70a2,WBS_L.3-Building,B24
004ba9ab790e3be3ba47da199ea4b1a7830d70a2,WBS_L.4-Level,L04
004ba9ab790e3be3ba47da199ea4b1a7830d70a2,Perimeter,9459.999999999029
004ba9ab790e3be3ba47da199ea4b1a7830d70a2,Name,Toilet/bad
007af3e783ad71a1b2604f117c0b4c85ebac435b,WBS_L.3-Building,B20
007af3e783ad71a1b2604f117c0b4c85ebac435b,WBS_L.4-Level,L01
007af3e783ad71a1b2604f117c0b4c85ebac435b,Perimeter,3999.9999999993156
007af3e783ad71a1b2604f117c0b4c85ebac435b,Name,Rørpost
0090a29533f90f65310a9b571949206d28249824,WBS_L.3-Building,B24
0090a29533f90f65310a9b571949206d28249824,WBS_L.4-Level,L00
0090a29533f90f65310a9b571949206d28249824,Perimeter,6879.999941537887
0090a29533f90f65310a9b571949206d28249824,Name,K-boks
00ac87faba28fc51f82ef20c779870f4e81d0956,WBS_L.3-Building,B20
00ac87faba28fc51f82ef20c779870f4e81d0956,WBS_L.4-Level,L01
00ac87faba28fc51f82ef20c779870f4e81d0956,Perimeter,51075.49999911195
00ac87faba28fc51f82ef20c779870f4e81d0956,Name,Akutgang
00fc3865f37b4e6505c0adf09d030fd2d91c79cf,WBS_L.3-Building,B22
00fc3865f37b4e6505c0adf09d030fd2d91c79cf,WBS_L.4-Level,L02
00fc3865f37b4e6505c0adf09d030fd2d91c79cf,Perimeter,6637.999996881185
00fc3865f37b4e6505c0adf09d030fd2d91c79cf,Name,Toilet/bad
011a981b1553a7fcc0dad583a60ce4fed2730c4d,WBS_L.3-Building,B24
011a981b1553a7fcc0dad583a60ce4fed2730c4d,WBS_L.4-Level,L04
011a981b1553a7fcc0dad583a60ce4fed2730c4d,Perimeter,26353.400182320056
011a981b1553a7fcc0dad583a60ce4fed2730c4d,Name,Ren zone
011eca6a08d32e06f3db7e848553eb93c7972f64,WBS_L.3-Building,B24
011eca6a08d32e06f3db7e848553eb93c7972f64,WBS_L.4-Level,L04
011eca6a08d32e06f3db7e848553eb93c7972f64,Perimeter,24204.999886550504
011eca6a08d32e06f3db7e848553eb93c7972f64,Name,Patientstue
017c2d644cd594c66cdd696758f6dc2609c56e6b,WBS_L.3-Building,B20
017c2d644cd594c66cdd696758f6dc2609c56e6b,WBS_L.4-Level,L01
017c2d644cd594c66cdd696758f6dc2609c56e6b,Perimeter,12900.000000000186
017c2d644cd594c66cdd696758f6dc2609c56e6b,Name,Elev.03
0186ffadbe4be14f98855582aee3ef09627f1a37,WBS_L.3-Building,B20
0186ffadbe4be14f98855582aee3ef09627f1a37,WBS_L.4-Level,L03
0186ffadbe4be14f98855582aee3ef09627f1a37,Perimeter,9711.99999660511
0186ffadbe4be14f98855582aee3ef09627f1a37,Name,Rengøringsrum
01966487d65cf12e1c34480bbc6d2a5cf47b4e8f,WBS_L.3-Building,B22
01966487d65cf12e1c34480bbc6d2a5cf47b4e8f,WBS_L.4-Level,L02
01966487d65cf12e1c34480bbc6d2a5cf47b4e8f,Perimeter,29350.000001420536
01966487d65cf12e1c34480bbc6d2a5cf47b4e8f,Name,Uniformer
01c4ae90ac3ee6ecd9ee3f1a1c2be56bbbd1331a,WBS_L.3-Building,B24
01c4ae90ac3ee6ecd9ee3f1a1c2be56bbbd1331a,WBS_L.4-Level,L02
01c4ae90ac3ee6ecd9ee3f1a1c2be56bbbd1331a,Perimeter,23080.000123825408
01c4ae90ac3ee6ecd9ee3f1a1c2be56bbbd1331a,Name,Trappe
020c3fb37c8bc5f1de37468375760d9e6f8fed5e,WBS_L.3-Building,B22
020c3fb37c8bc5f1de37468375760d9e6f8fed5e,WBS_L.4-Level,L04
020c3fb37c8bc5f1de37468375760d9e6f8fed5e,Perimeter,9459.99999999972
020c3fb37c8bc5f1de37468375760d9e6f8fed5e,Name,Toilet/bad
0222374690a815160cc60c1d49b7c2000f6634f8,WBS_L.3-Building,B20
0222374690a815160cc60c1d49b7c2000f6634f8,WBS_L.4-Level,L00
0222374690a815160cc60c1d49b7c2000f6634f8,Perimeter,7090.000000000502
0222374690a815160cc60c1d49b7c2000f6634f8,Name,Niche
024ddf72a04741f186587c883f0cd9db3ea1fc13,WBS_L.3-Building,B20
024ddf72a04741f186587c883f0cd9db3ea1fc13,WBS_L.4-Level,L03
024ddf72a04741f186587c883f0cd9db3ea1fc13,Perimeter,13162.995395656699
024ddf72a04741f186587c883f0cd9db3ea1fc13,Name,Terapirum
02501b96e4f3ca20913ca35c6aea5244d02a30a1,WBS_L.3-Building,B20
02501b96e4f3ca20913ca35c6aea5244d02a30a1,WBS_L.4-Level,L04
02501b96e4f3ca20913ca35c6aea5244d02a30a1,Perimeter,25800.00012487848
02501b96e4f3ca20913ca35c6aea5244d02a30a1,Name,Multifunktionsrum
025bcaec8be0e79b5c0e699da96ce140f7862f85,WBS_L.3-Building,B22
025bcaec8be0e79b5c0e699da96ce140f7862f85,WBS_L.4-Level,L03
025bcaec8be0e79b5c0e699da96ce140f7862f85,Perimeter,28283.441616368807
025bcaec8be0e79b5c0e699da96ce140f7862f85,Name,Ren zone
025ef47f77cd77acff4295002a5b999e44c0edf3,WBS_L.3-Building,B24
025ef47f77cd77acff4295002a5b999e44c0edf3,WBS_L.4-Level,L01
025ef47f77cd77acff4295002a5b999e44c0edf3,Perimeter,131540.54066073147
025ef47f77cd77acff4295002a5b999e44c0edf3,Name,Klyngestrøg
02834977da79b5dd64d10142891f52f9f706ff50,WBS_L.3-Building,B24
02834977da79b5dd64d10142891f52f9f706ff50,WBS_L.4-Level,L03
02834977da79b5dd64d10142891f52f9f706ff50,Perimeter,24204.99993955417
02834977da79b5dd64d10142891f52f9f706ff50,Name,Patientstue
02b4f5c2aa783b5cf213d8d2a5ee63a8ff44e458,WBS_L.3-Building,B20
02b4f5c2aa783b5cf213d8d2a5ee63a8ff44e458,WBS_L.4-Level,L04
02b4f5c2aa783b5cf213d8d2a5ee63a8ff44e458,Perimeter,0
02b4f5c2aa783b5cf213d8d2a5ee63a8ff44e458,Name,Skakt ventilation
02ccbc1b4479970bef171c5ed1b40b9d9727dc9f,WBS_L.3-Building,B22
02ccbc1b4479970bef171c5ed1b40b9d9727dc9f,WBS_L.4-Level,L01
02ccbc1b4479970bef171c5ed1b40b9d9727dc9f,Perimeter,9407.99999631036
02ccbc1b4479970bef171c5ed1b40b9d9727dc9f,Name,Toilet
02e8cce01eba8db5b6fed11b9fd332a482232d30,WBS_L.3-Building,B22
02e8cce01eba8db5b6fed11b9fd332a482232d30,WBS_L.4-Level,L01
02e8cce01eba8db5b6fed11b9fd332a482232d30,Perimeter,51000.000003401874
02e8cce01eba8db5b6fed11b9fd332a482232d30,Name,Korridor
031745260214496e59290e1ad9ab15ce8459605f,WBS_L.3-Building,B24
031745260214496e59290e1ad9ab15ce8459605f,WBS_L.4-Level,L03
031745260214496e59290e1ad9ab15ce8459605f,Perimeter,11959.999994355976
031745260214496e59290e1ad9ab15ce8459605f,Name,Niche
032b8e7c4260702dce40719e84b2d1e31fa6997f,WBS_L.3-Building,B20
032b8e7c4260702dce40719e84b2d1e31fa6997f,WBS_L.4-Level,L04
032b8e7c4260702dce40719e84b2d1e31fa6997f,Perimeter,26013.399999999197
032b8e7c4260702dce40719e84b2d1e31fa6997f,Name,Ren zone
0331dd45e13ec2300aad151c93139239efd17842,WBS_L.3-Building,B22
0331dd45e13ec2300aad151c93139239efd17842,WBS_L.4-Level,L03
0331dd45e13ec2300aad151c93139239efd17842,Perimeter,24204.999881365362
0331dd45e13ec2300aad151c93139239efd17842,Name,Patientstue
033dbaa95f24ac7e4dade07a90d1e5b2673b3024,WBS_L.3-Building,B24
033dbaa95f24ac7e4dade07a90d1e5b2673b3024,WBS_L.4-Level,L04
033dbaa95f24ac7e4dade07a90d1e5b2673b3024,Perimeter,9459.999999997077
033dbaa95f24ac7e4dade07a90d1e5b2673b3024,Name,Toilet/bad
03693da341ac1c42ef6511fc102569baed95e272,WBS_L.3-Building,B24
03693da341ac1c42ef6511fc102569baed95e272,WBS_L.4-Level,L04
03693da341ac1c42ef6511fc102569baed95e272,Perimeter,2139.9998791076728
03693da341ac1c42ef6511fc102569baed95e272,Name,Forberedt for rørpost
03bfe2275e2f81a61d171ced12d1a359dc362dea,WBS_L.3-Building,B22
03bfe2275e2f81a61d171ced12d1a359dc362dea,WBS_L.4-Level,L03
03bfe2275e2f81a61d171ced12d1a359dc362dea,Perimeter,24204.999881370288
03bfe2275e2f81a61d171ced12d1a359dc362dea,Name,Patientstue
040c3636ef4fc2c96fc3c775d70e231495c75ec7,WBS_L.3-Building,B22
040c3636ef4fc2c96fc3c775d70e231495c75ec7,WBS_L.4-Level,L04
040c3636ef4fc2c96fc3c775d70e231495c75ec7,Perimeter,25003.3817246239
040c3636ef4fc2c96fc3c775d70e231495c75ec7,Name,Patientstue
041f351ad449f105cd1fa747a237edc449988c9f,WBS_L.3-Building,B24
041f351ad449f105cd1fa747a237edc449988c9f,WBS_L.4-Level,L01
