name,value
Area,b'91.21192812190831'
Base Finish,b'Baseboard'
Base Offset,b'0'
Category,b'Revit Rooms'
CategoryId,b'-2000160'
CCSClassCodeVersion,b'R1'
CCSDesignedUseClassCode,b'EAC'
CCSDesignedUseName,b'Gang'
CCSSingleLevelID,b'[A]#2893'
CCSTopnode,b'[A]'
CCSTypeDescription,b'Korridor'
CCSTypeID,b'[A]%EAC5'
CCSTypeName,b'TR.019'
Ceiling Finish,b'NS_NI_NAp_NH_A_A24;60x60_NI_NAp_H100_A_A24_C'
Computation Height,b'0'
Design Option,b'Main Model'
ElementId,b'736767'
Floor Finish,b'Linoleum-LN'
Groups: Byggesag: Name,b'Somatik'
IfcGUID,b'3d$b5peQv5_xXLtxdUtjwS'
Level,b'4'
Level,b'Plan 1 (01)'
Limit Offset,b'2500'
name,b'Korridor DP04.1238 [736767]'
Name,b'Korridor'
Number,b'DP04.1238'
OHPT_Blackout,b'Nej'
OHPT_Blackout_TE,b'No'
OHPT_CanOpenAndClose,b'Nej'
OHPT_CladdingWidth,b'0'
OHPT_Class-Hyg-Blackout,b'-'
OHPT_CounterwallWidth,b'0'
OHPT_DaylightControl,b'Nej'
OHPT_DaylightControl_TE,b'No'
OHPT_Department,b'Operating dept.'
OHPT_dRofusSyncDate,b'07/12/2021 12:59:46'
OHPT_Frum,b'0'
OHPT_Genopretning2018,b'7. Teknikrum'
OHPT_HazardClassFire,b'OH1'
OHPT_IndoorCurtain_TE,b'No'
OHPT_IntegratedCurtain_TE,b'No'
OHPT_Issues,b'0'
OHPT_Issues-Level2,b'2'
OHPT_MediGasKliniskeOgØvrigeRum,b'C'
OHPT_MediGasLabs,b'a'
OHPT_OptimizedCeilingHeight,b'2500'
OHPT_Paintwork,"b'Acrlylic and Silver ions, antibacterial'"
OHPT_RA_Afdeling EN,b'Undefined'
OHPT_RA_Afdeling IT,b'Indefinito'
OHPT_RA_Ceiling Height,b'2.5'
OHPT_RA_Check,b'1'
OHPT_RA_Name EN,b'Corridor'
OHPT_RA_Name IT,b'Corridoio'
OHPT_RA_No Window,b'0'
OHPT_RA_Object Type EN,b'Operatory theatre'
OHPT_RA_Object Type IT,b'Sale operatorie'
OHPT_RA_Zone Category EN,b'12 Corridors'
OHPT_RA_Zone Category IT,b'12 Corridoi'
OHPT_RelevantArea,b'0'
OHPT_RoomsIDVoid,b'0'
OHPT_ScreeningForInsight,b'Nej'
OHPT_ShadingQuantity_TE,b'0'
OHPT_Shaft,b'0'
OHPT_Sikringszone,b'R\xc3\xb8d'
OHPT_WIP,b'0'
OUH Behandlingshoejde,b'0'
OUH_AcusticKilderum,b'Korridorer'
OUH_AnesthesiaSuction_AGS,b'Nej'
OUH_Argon_LAB_Ar,b'Nej'
OUH_AutomaticDoorOpener,b'Ja'
OUH_BHU,b'-'
OUH_Carbondioxid_CO2,b'Nej'
OUH_Carbondioxid_LAB_CO2,b'Nej'
OUH_CeilingHeight,"b'2,50'"
OUH_CompressedAir_LAB_APL,b'Nej'
OUH_CompressedAir_Medical_APM,b'Nej'
OUH_CompressedAir_Technical_APT,b'Nej'
OUH_ControlledAccess,b'Ja'
OUH_DaylightRequirements,b'Nej'
OUH_DaylightRequirementsTE,b'No'
OUH_DK-DaylightCheck,b'Nej'
OUH_DocsOnDrofus,b'False'
OUH_DoorELScenaryProposal,b'Scenary 9'
OUH_dRofusDrenInput,b'not sloped floor - no floor drainage - no items placed'
OUH_ElectricalPanelboard,b'DP04_P1_C_EP_AX_00'
OUH_F-Gas_LAB,b'Nej'
OUH_FaradayCage,b'Nej'
OUH_FaradyCage,b'Nej'
OUH_FloorScreedToFall,b'Nej'
OUH_Gas-requested,b'-'
OUH_Helium_LAB_He,b'Nej'
OUH_Hv Max,b'0'
OUH_Hydrogen_LAB_H2,b'Nej'
OUH_InterlockedDoor,b'Nej'
OUH_InternalWindow,b'Nej'
OUH_LeaveDoorOpen,b'Ja'
OUH_LockableDoor,b'Nej'
OUH_Loop,b'-'
OUH_MedGroupBH,b'-'
OUH_Nitrogen_LAB_N2,b'Nej'
OUH_NitrousOxide_N2O,b'Nej'
OUH_Open_Issue,b'1.5'
OUH_Oxygen_LAB_O2,b'Nej'
OUH_Oxygen_Medical_O2,b'Nej'
OUH_People#Max,b'0'
OUH_People#Normal,b'0'
OUH_PermanentWorkplace,b'Nej'
OUH_PermanentWorkplaceTE,b'No'
OUH_ProgrammedArea,"b'0,00'"
OUH_QkDesign,b'4 kN/mq'
OUH_Rumnummer_31-01-17,b'11.81.019'
OUH_SafetyMedicalGroup,b'-'
OUH_Security zone_Proposal,b'Red'
OUH_SpecialCleaning,b'Nej'
OUH_SpecialDoorWidth,b'Ja'
OUH_SpecialRoomTemperature,b'0'
OUH_Vacuum_Dental_AZD,b'Nej'
OUH_Vacuum_Medical_AZM,b'Nej'
OUH_Vacuum_Medical_LAB_AZL,b'Nej'
OUH_Vacuum_Technical_AZT,b'Nej'
OUH_WallFinish_Code,b'WF4'
OUH_Ward,b'CM'
OUH_WindowOnDoor,b'Nej'
parent,b'12483'
Perimeter,b'67649.22094385076'
Phase,b'New Construction'
Pollination_HasSensorGrid,b'0'
PriseCategory,b'A'
RLX_RlxInstId,b'0'
RoomID,b'24876'
TagName,b'Korridor'
Unbounded Height,b'2499.999999999999'
Upper Limit,b'Plan 1 (01)'
viewable_in,b'c884ae1b-61e7-4f9d-0001-719e20b22d0b-02bd2d0b'
Volume,b'228.0299510540845'
Wall Finish,"b'2 times plastic wall paint, gloss:20'"
WBS_L.1-Contract,b'OUH'
WBS_L.2-Site,b'DP04w'
WBS_L.3-Building,b'B20'
WBS_L.4-Level,b'L01'
WBS_L.5-Department,b'OP'
Workset,b'OUH_ROOMS'
ZoneCategory,b'12 Korridorer'
