value,COUNT(*)
b'Toilet',194
b'Unders\xc3\xb8gelses og behandlingsrum',120
b'Korridor',63
b'Ren zone',54
b'K-boks',47
b'Dagbehandling',41
b'Depot',38
b'Toilet/bad',33
b'Sluse',32
b'Niche',29
b'Teknikrum',29
b'Uren zone',28
b'Skakt EL',28
b'Forrum',27
b'Vente',27
b'Beh.-/obs.pladser',22
b'Reng\xc3\xb8ringsrum',21
b'Trappe',20
b'Teamrum',19
b'Elev.01',17
b'Taskeskab',16
b'Skakt VVS/Ventilation',16
b'Elev.03',15
b'Personaleophold',15
b'Opstilling',15
b'Forberedt for r\xc3\xb8rpost',15
"b'Lederkontor, 2 pl.'",15
b'Skakt VVS',14
b'R\xc3\xb8rpost',14
b'AGV rum',14
b'Forberedelse',14
b'Skakt ventilation',13
b'Elevator',12
b'L\xc3\xa6gemiddelproduktion',12
b'Klyngestr\xc3\xb8g',12
b'Hjertestarter',11
b'Akutgang',10
b'Laboratorium',7
b'Samtalerum',7
b'L\xc3\xa6gevask',6
b'Reception',6
b'Teknikrum EL',6
b'Skakt',5
b'Afsnitsk\xc3\xb8kken',5
b'Omkl\xc3\xa6dning',5
b'Elev.04',5
b'Forskning',4
"b'Kontor, Storrum'",4
b'Cafe',4
"b'M\xc3\xb8derum, Lille'",3
b'Beskriverrum',3
b'Observationsomr\xc3\xa5de',2
"b'Depot, Udstyr, 0-10m2'",2
b'Produktionsforberedelse',2
"b'Reception, m. gruppekontor, 15-20 m2'",2
b'Gruppekontor',2
b'K\xc3\xb8lerum',2
b'Bufferlager',2
b'Kontrolrum',2
b'Blodk\xc3\xb8leskab',2
b'Kontor',2
b'Betjeningsrum',2
b'Udstyrsvask',2
b'Implantater',2
b'Vanskelige luftveje',2
b'Cytostatika til afhentening',1
b'CATO',1
"b'Depot, Udstyr, 10-20m3'",1
b'Behandlerkontor',1
b'Dosisdispensering',1
b'Taskeskabe',1
b'Overv\xc3\xa5gning',1
"b'R\xc3\xb8rpost, gennemgang'",1
"b'R\xc3\xb8rpost, Niche'",1
b'Hjerte\xc3\xa5bningsberedskab',1
b'Hvile',1
b'Gennemf\xc3\xb8ring',1
b'KFE',1
b'Karant\xc3\xa6nelager',1
b'Klarg\xc3\xb8ring',1
"b'Kontor, OP-koordinator og multifunktion'",1
b'Kopi/print',1
b'F\xc3\xa6rdigg\xc3\xb8relse',1
b'K\xc3\xb8leskabs-/fryseskabsrum',1
b'Lager',1
b'M\xc3\xb8derum',1
b'Forsendelse',1
b'Forberedelse for r\xc3\xb8rpost',1
b'Opvask',1
b'Pakkeplads',1
b'Etagek\xc3\xb8kken',1
b'Kvalitetskontrol',1
