value,COUNT(*)
b'AGV rum',11
b'Affaldsrum',3
b'Afsnitsk\xc3\xb8kken',13
b'Amplifikation',1
b'Analyse',57
"b'Analyse, 3 pl.'",18
b'Apparaturrum',5
b'Arbejdsstation',7
b'Autounloade',5
b'Beh.-/obs.pladser',23
b'Cafe',16
b'Celledyrkning',1
b'Depot',39
"b'Depot, Udstyr, 10-20m2'",2
b'Elektronmikroskop',1
b'Elev.01',17
b'Elev.03',17
b'Elev.04',2
b'Elevator',16
b'Etagek\xc3\xb8kken',4
b'Farvning',4
b'Fluorescens',4
b'Forberedelse',14
b'Forberedt for r\xc3\xb8rpost',38
b'Forrum',41
b'Foto',1
b'Fryserum',1
b'Gangbane',2
"b'Garderobe, Niche, kontorkoncept'",15
b'Gruppekontor',168
b'Grupperum',2
b'HE farvning og scannerrum',1
b'Hjertestarter',8
b'Hvile',1
b'H\xc3\xa5ndtering',1
b'H\xc3\xa6matologi',1
b'Inkubatorrum',1
b'K-boks',90
b'Kloningsrum',1
b'Kommandocentral',1
b'Kommunikationsrum',10
b'Konferencemikroskop',1
"b'Kontor, Storrum'",13
b'Kontrastering',1
b'Kontrolrum',1
b'Kopi/print',3
"b'Kopi/print, kontorkoncept'",17
b'Korridor',120
b'K\xc3\xb8lerum',5
b'K\xc3\xb8leskabs-/fryseskabsrum',7
b'Laboratorium',43
"b'Lederkontor, 2 pl.'",91
b'Legeterapi',2
b'Maskinrum',3
b'Mastermix-rum',1
b'Mikroskopi',3
"b'Mikroskopi, 2 arb pl'",8
b'Modtagelse',1
b'Multifunktionsrum',6
b'M\xc3\xa6lkek\xc3\xb8kken',5
"b'M\xc3\xb8derum, Lille'",23
"b'M\xc3\xb8derum, Mellem, 16 pl.'",1
"b'M\xc3\xb8derum, Stor, kontorkoncept'",37
b'Niche',9
"b'Niche, Overv\xc3\xa5gning'",4
b'Omkl\xc3\xa6dning',1
b'Opholdsrum',2
b'Opstilling',1
b'Opvask',7
b'PCR',3
b'Patientstue',292
b'Pauserum',2
b'Personaleophold',18
"b'Personaleophold, 30-45 m2'",6
b'Pippetering',4
b'Podning',1
b'Pr\xc3\xa6parationsrum',2
b'Pr\xc3\xb8vebehandling',1
b'Pr\xc3\xb8vemodtagelse',1
b'Reception',4
b'Ren zone',59
b'Reng\xc3\xb8ringsrum',29
b'Reng\xc3\xb8ringsrum (0-3m2)',2
b'R\xc3\xb8rpost',15
"b'R\xc3\xb8rpost, Niche'",1
"b'R\xc3\xb8rpost, gennemgang'",3
b'Samtale-/fordyb.modul',3
"b'Samtale-/fordyb.modul, kontorkoncept'",36
b'Samtalerum',90
b'Skakt',3
b'Skakt VVS',14
b'Skakt VVS/Ventilation',38
b'Skakt ventilation',13
b'Sk\xc3\xa6ring',4
b'Sluse',6
"b'Sluse, LAB'",1
b'Studierum',2
b'Tarmbakteriol. & Parasitol.',1
b'Taskeskab',23
b'Taskeskabe',3
b'Teamrum',8
b'Teknikrum',45
b'Teknikrum EL',5
b'Terapirum',18
b'Toilet',217
b'Toilet/bad',316
b'Trappe',29
b'Udsk\xc3\xa6ring',4
b'Unders\xc3\xb8gelses og behandlingsrum',4
b'Undervisn.lab.',2
b'Undervisning og auditorie',1
"b'Undervisning og auditorie, kontorkoncept'",6
b'Undervisnings- og grupperum',3
b'Uren zone',39
b'Vaskerum',2
b'Vejerum',2
b'Vente',4
b'V\xc3\xa6vsdyrkning',2
b'WASP',1
