name,value
Area,b'3.0034799999998207'
Base Constraint,b'Plan 1 (01)'
Base Extension Distance,b'0'
Base is Attached,b'0'
Base Offset,b'0'
Category,b'Revit Walls'
CategoryId,b'-2000011'
Design Option,b'Main Model'
ElementId,b'6377508'
Enable Analytical Model,b'0'
IfcGUID,b'3zN8GtwFnAYuKSMHnjMX7j'
instanceof_objid,b'13509'
Length,b'704.0000000001171'
Level,b'4'
Location Line,b'Finish Face: Exterior'
name,b'Basic Wall [6377508]'
OHPT_EFF,b'0.77'
parent,b'13510'
Phase Created,b'New Construction'
Phase Demolished,b'None'
Related to Mass,b'0'
Room Bounding,b'1'
Structural,b'0'
Structural Usage,b'Non-bearing'
Top Constraint,b'Up to level: 02 P2 Str. Intrados'
Top Extension Distance,b'0'
Top is Attached,b'0'
Top Offset,b'-585.0'
Type Name,b'V\xc3\xa6g-Indvendig-Forsatsv\xc3\xa6g-XR_95/95_450_RN-0_M0_EI_30'
Unconnected Height,b'3644.9999999999986'
viewable_in,b'36d4a318-419d-4041-850c-8b9dc59a1cf1-00037dac'
viewable_in,b'ed3e83e8-b95d-4a90-8ebf-65b1e0b40a96-0005001e'
viewable_in,b'2f5535ee-1340-4a19-bef0-e2748f728c37-0005b08f'
viewable_in,b'edbf9363-ee16-4bc5-9827-8dc224e7d0d9-0007614d'
viewable_in,b'8e2e8cee-cb9d-4951-a9a6-fe12e5cc69fa-0007cf3c'
viewable_in,b'54e5b99c-9b55-4bdb-ae39-db56b3618288-0008c9e5'
viewable_in,b'293bb9b3-6e73-46f1-b617-5f266b885c9c-0008ede3'
viewable_in,b'd0a8bf6d-4450-4535-9df4-ba179170dcd3-000aa961'
viewable_in,b'83ded642-4f2a-466f-a996-f7d8dcae536b-000b6e64'
viewable_in,b'5bfa900c-9905-4297-bade-ff037c927e39-000f482b'
viewable_in,b'2f160af3-2ec5-4cac-b38e-6a2ca424e157-0015fa7b'
viewable_in,b'0e73b52e-3b2a-42b6-a93f-a0311e29c854-0015fa7b'
viewable_in,b'9d1f9fcf-fa29-4c0b-ad47-ba53b3e552db-0016ec17'
viewable_in,b'f45cce66-86d7-43b8-9740-b9d43332d99a-0017992a'
viewable_in,b'9e88ad28-4538-4b93-a03d-9f447fdba386-0019d296'
viewable_in,b'9e88ad28-4538-4b93-a03d-9f447fdba386-0019d2a0'
viewable_in,b'9e88ad28-4538-4b93-a03d-9f447fdba386-0019d2b2'
viewable_in,b'9e88ad28-4538-4b93-a03d-9f447fdba386-0019d2bc'
viewable_in,b'd8284938-5b37-44c1-80ae-6f676093f8a2-0034e7e9'
viewable_in,b'38bf674f-cd56-4553-a7c4-fa22bc8ad34e-0051b83a'
viewable_in,b'98140ee7-d134-403b-b21b-3a660743b6d8-005fad69'
viewable_in,b'b0d171d5-0d16-4125-a9e5-28e99d6ae8c0-0062f7c2'
viewable_in,b'7a2930ef-4a17-4904-a58f-b69b112623e1-0068c1ed'
viewable_in,b'35a04926-f28e-4dda-9ac1-30262a99d458-006ef581'
viewable_in,b'6c9154c0-ce5c-44e5-b7bc-e4826f88fbed-00741f27'
viewable_in,b'ba403614-3e26-45b3-9653-7d64f4a1f95a-0094ab7b'
viewable_in,b'fac253df-d66b-430d-86b9-bf3f32c3cb91-00a61e8b'
viewable_in,b'b166a01c-7b69-4e66-aa9c-bb6096df4797-00abea9e'
viewable_in,b'991df30d-f046-4bca-838b-5c7e1b201257-00ae0417'
viewable_in,b'c884ae1b-61e7-4f9d-0001-719e20b22d0b-00b23e70'
viewable_in,b'a4c6eb14-0751-4259-849e-34fb3c240ad7-001d3e7b'
viewable_in,b'aa6e7ec1-bf08-426b-9024-c30ebb751081-001fc6fe'
viewable_in,b'fd23b1ee-cf92-4be5-a341-43d1b40885d7-00367601'
viewable_in,b'a66107d9-da98-47be-a478-2acdff4730c3-005fb703'
viewable_in,b'b5b30bc3-e689-48f9-a1eb-823d3d5585ae-00658683'
viewable_in,b'a07f324f-592b-4347-9ca8-7f7ca868fcd9-007606cf'
viewable_in,b'0bcfbae0-7ebd-4487-aa09-90a1ffda1ea6-007a180b'
viewable_in,b'deac0d7a-51a7-4e4b-a28a-7e78d089095f-008d00e8'
viewable_in,b'3fcbdf5b-49eb-43bc-a3ae-ed3e642edb5a-009285f9'
viewable_in,b'd7b33122-fdb9-49e5-a990-ad900fbc0134-009f4d00'
viewable_in,b'e923aab7-b9a7-4132-8361-9ee63ca853b9-00a3881d'
viewable_in,b'4905ee91-9997-4499-8373-ba40968367b9-00af1e27'
viewable_in,b'0b50168e-6177-4e23-92af-14f1ee531549-00037ea8'
viewable_in,b'789820cb-5df9-4f0f-a074-f44482bfe2a0-00050108'
viewable_in,b'e0fffba1-60af-48f2-9f2f-acb90715728d-000728cb'
viewable_in,b'e0fffba1-60af-48f2-9f2f-acb90715728d-000728e9'
viewable_in,b'e0fffba1-60af-48f2-9f2f-acb90715728d-00072907'
viewable_in,b'e0fffba1-60af-48f2-9f2f-acb90715728d-00072925'
viewable_in,b'e0fffba1-60af-48f2-9f2f-acb90715728d-00072943'
viewable_in,b'e0fffba1-60af-48f2-9f2f-acb90715728d-00072961'
viewable_in,b'6fd1d38d-5d02-4fa0-9880-a34e29b697ba-000f9a3f'
viewable_in,b'6fd1d38d-5d02-4fa0-9880-a34e29b697ba-000f9a5d'
viewable_in,b'aada4c5c-21e1-4223-9684-3177bb3cbb5b-000fe6fc'
